time	V(vcap)	I(C1)
5.960171564041795e-005	4.996706e+000	1.708325e-004
5.977885849756081e-005	4.999630e+000	1.660846e-004
5.995600135470367e-005	5.002508e+000	1.590134e-004
6.013314421184652e-005	5.005342e+000	1.496189e-004
6.025885849756081e-005	5.007197e+000	1.419082e-004
6.038457278327509e-005	5.008931e+000	1.335978e-004
6.051028706898938e-005	5.010545e+000	1.246879e-004
6.063600135470366e-005	5.012038e+000	1.151783e-004
6.076171564041794e-005	5.013411e+000	1.050691e-004
6.088742992613223e-005	5.014663e+000	9.436030e-005
6.101314421184651e-005	5.015795e+000	8.305188e-005
6.109885849756081e-005	5.016475e+000	7.524542e-005
6.118457278327510e-005	5.017086e+000	6.739916e-005
6.127028706898940e-005	5.017630e+000	5.951310e-005
6.135600135470370e-005	5.018105e+000	5.158724e-005
6.144171564041800e-005	5.018513e+000	4.362158e-005
6.152742992613230e-005	5.018852e+000	3.561612e-005
6.161314421184660e-005	5.019123e+000	2.757086e-005
6.165314421184661e-005	5.019226e+000	2.385858e-005
6.169314421184661e-005	5.019314e+000	2.016682e-005
6.173314421184662e-005	5.019387e+000	1.649560e-005
6.177314421184663e-005	5.019446e+000	1.284490e-005
6.181314421184663e-005	5.019490e+000	9.214725e-006
6.185314421184664e-005	5.019520e+000	5.605079e-006
6.189314421184665e-005	5.019535e+000	2.015961e-006
6.193314421184665e-005	5.019536e+000	-1.537971e-006
6.197314421184666e-005	5.019523e+000	-5.060554e-006
6.205314421184667e-005	5.019454e+000	-1.200258e-005
6.213314421184668e-005	5.019331e+000	-1.879238e-005
6.225314421184670e-005	5.019046e+000	-2.865468e-005
6.237314421184672e-005	5.018645e+000	-3.808234e-005
6.249314421184674e-005	5.018134e+000	-4.702549e-005
6.265314421184677e-005	5.017245e+000	-5.825789e-005
6.281314421184679e-005	5.016232e+000	-6.829928e-005
6.297314421184682e-005	5.015097e+000	-7.714968e-005
6.313314421184684e-005	5.013838e+000	-8.480907e-005
6.329314421184687e-005	5.012455e+000	-9.127746e-005
6.345314421184690e-005	5.010950e+000	-9.655485e-005
6.361314421184692e-005	5.009321e+000	-1.006412e-004
6.379028706898981e-005	5.007447e+000	-1.033833e-004
6.396742992613269e-005	5.005599e+000	-1.047221e-004
6.414457278327558e-005	5.003779e+000	-1.046576e-004
6.432171564041846e-005	5.001986e+000	-1.031899e-004
6.449885849756135e-005	5.000220e+000	-1.003189e-004
6.467600135470423e-005	4.998481e+000	-9.604463e-005
