time	V(vcap)
4.753314421184664e-005	4.912391e+000
4.757314421184664e-005	4.912056e+000
4.761314421184664e-005	4.911787e+000
4.765314421184664e-005	4.911585e+000
4.769314421184664e-005	4.911448e+000
4.773314421184664e-005	4.911378e+000
4.777314421184664e-005	4.911372e+000
4.781314421184664e-005	4.911430e+000
4.789314421184664e-005	4.911736e+000
4.797314421184664e-005	4.912292e+000
4.809314421184664e-005	4.913579e+000
4.821314421184663e-005	4.915393e+000
4.833314421184663e-005	4.917706e+000
4.849314421184663e-005	4.921735e+000
4.865314421184663e-005	4.926323e+000
4.881314421184663e-005	4.931471e+000
4.897314421184663e-005	4.937178e+000
4.913314421184663e-005	4.943446e+000
4.929314421184662e-005	4.950273e+000
4.945314421184662e-005	4.957659e+000
4.963028706898948e-005	4.966162e+000
4.980742992613233e-005	4.974543e+000
4.998457278327519e-005	4.982801e+000
5.016171564041804e-005	4.990936e+000
5.033885849756090e-005	4.998949e+000
5.051600135470376e-005	5.006839e+000
5.069314421184661e-005	5.014607e+000
5.081885849756090e-005	5.019692e+000
5.094457278327518e-005	5.024446e+000
5.107028706898947e-005	5.028870e+000
5.119600135470375e-005	5.032964e+000
5.132171564041803e-005	5.036728e+000
5.144742992613232e-005	5.040162e+000
5.157314421184660e-005	5.043266e+000
5.165885849756089e-005	5.045131e+000
5.174457278327517e-005	5.046810e+000
5.183028706898946e-005	5.048301e+000
5.191600135470374e-005	5.049606e+000
5.200171564041803e-005	5.050724e+000
5.208742992613231e-005	5.051655e+000
5.217314421184660e-005	5.052400e+000
5.221314421184660e-005	5.052682e+000
5.225314421184660e-005	5.052924e+000
5.229314421184660e-005	5.053126e+000
5.233314421184660e-005	5.053288e+000
5.237314421184660e-005	5.053410e+000
5.241314421184659e-005	5.053492e+000
5.245314421184659e-005	5.053535e+000
5.249314421184659e-005	5.053537e+000
5.253314421184659e-005	5.053502e+000
5.261314421184659e-005	5.053316e+000
5.269314421184659e-005	5.052980e+000
5.281314421184659e-005	5.052201e+000
5.293314421184659e-005	5.051105e+000
5.305314421184659e-005	5.049706e+000
5.321314421184659e-005	5.047271e+000
5.337314421184659e-005	5.044499e+000
5.353314421184658e-005	5.041388e+000
5.369314421184658e-005	5.037940e+000
5.385314421184658e-005	5.034153e+000
5.401314421184658e-005	5.030029e+000
5.417314421184658e-005	5.025566e+000
5.435028706898944e-005	5.020429e+000
5.452742992613229e-005	5.015367e+000
5.470457278327515e-005	5.010379e+000
5.488171564041800e-005	5.005464e+000
5.505885849756086e-005	5.000624e+000
5.523600135470371e-005	4.995858e+000
5.541314421184657e-005	4.991166e+000
5.553885849756085e-005	4.988095e+000
5.566457278327514e-005	4.985224e+000
5.579028706898942e-005	4.982552e+000
5.591600135470370e-005	4.980079e+000
5.604171564041799e-005	4.977806e+000
5.616742992613227e-005	4.975733e+000
5.629314421184656e-005	4.973858e+000
5.637885849756084e-005	4.972732e+000
5.646457278327513e-005	4.971719e+000
5.655028706898942e-005	4.970819e+000
5.663600135470369e-005	4.970031e+000
5.672171564041798e-005	4.969356e+000
5.680742992613227e-005	4.968794e+000
5.689314421184655e-005	4.968345e+000
5.693314421184655e-005	4.968175e+000
5.697314421184655e-005	4.968029e+000
5.701314421184655e-005	4.967907e+000
5.705314421184655e-005	4.967809e+000
5.709314421184655e-005	4.967736e+000
5.713314421184655e-005	4.967686e+000
5.717314421184655e-005	4.967661e+000
5.721314421184655e-005	4.967659e+000
5.725314421184655e-005	4.967681e+000
5.733314421184655e-005	4.967794e+000
5.741314421184655e-005	4.967998e+000
5.753314421184655e-005	4.968469e+000
5.765314421184654e-005	4.969131e+000
5.777314421184654e-005	4.969977e+000
5.793314421184654e-005	4.971448e+000
5.809314421184654e-005	4.973124e+000
5.825314421184654e-005	4.975004e+000
5.841314421184654e-005	4.977087e+000
5.857314421184654e-005	4.979375e+000
5.873314421184653e-005	4.981867e+000
5.889314421184653e-005	4.984563e+000
5.907028706898939e-005	4.987666e+000
5.924742992613224e-005	4.990724e+000
5.942457278327510e-005	4.993737e+000
5.960171564041795e-005	4.996706e+000
5.977885849756081e-005	4.999630e+000
5.995600135470367e-005	5.002508e+000
6.013314421184652e-005	5.005342e+000
6.025885849756081e-005	5.007197e+000
6.038457278327509e-005	5.008931e+000
6.051028706898938e-005	5.010545e+000
6.063600135470366e-005	5.012038e+000
6.076171564041794e-005	5.013411e+000
6.088742992613223e-005	5.014663e+000
6.101314421184651e-005	5.015795e+000
6.109885849756081e-005	5.016475e+000
6.118457278327510e-005	5.017086e+000
6.127028706898940e-005	5.017630e+000
6.135600135470370e-005	5.018105e+000
6.144171564041800e-005	5.018513e+000
6.152742992613230e-005	5.018852e+000
6.161314421184660e-005	5.019123e+000
6.165314421184661e-005	5.019226e+000
6.169314421184661e-005	5.019314e+000
6.173314421184662e-005	5.019387e+000
6.177314421184663e-005	5.019446e+000
6.181314421184663e-005	5.019490e+000
6.185314421184664e-005	5.019520e+000
6.189314421184665e-005	5.019535e+000
6.193314421184665e-005	5.019536e+000
6.197314421184666e-005	5.019523e+000
6.205314421184667e-005	5.019454e+000
6.213314421184668e-005	5.019331e+000
6.225314421184670e-005	5.019046e+000
6.237314421184672e-005	5.018645e+000
6.249314421184674e-005	5.018134e+000
6.265314421184677e-005	5.017245e+000
6.281314421184679e-005	5.016232e+000
6.297314421184682e-005	5.015097e+000
6.313314421184684e-005	5.013838e+000
6.329314421184687e-005	5.012455e+000
6.345314421184690e-005	5.010950e+000
6.361314421184692e-005	5.009321e+000
6.379028706898981e-005	5.007447e+000
6.396742992613269e-005	5.005599e+000
6.414457278327558e-005	5.003779e+000
6.432171564041846e-005	5.001986e+000
6.449885849756135e-005	5.000220e+000
6.467600135470423e-005	4.998481e+000
6.485314421184712e-005	4.996769e+000
6.497885849756143e-005	4.995649e+000
6.510457278327573e-005	4.994602e+000
6.523028706899004e-005	4.993627e+000
6.535600135470434e-005	4.992726e+000
6.548171564041865e-005	4.991897e+000
6.560742992613295e-005	4.991140e+000
6.573314421184726e-005	4.990457e+000
6.581885849756156e-005	4.990046e+000
6.590457278327586e-005	4.989677e+000
6.599028706899016e-005	4.989349e+000
6.607600135470446e-005	4.989062e+000
6.616171564041876e-005	4.988816e+000
6.624742992613306e-005	4.988611e+000
6.633314421184736e-005	4.988448e+000
6.637314421184736e-005	4.988386e+000
6.641314421184737e-005	4.988333e+000
6.645314421184738e-005	4.988289e+000
6.649314421184738e-005	4.988253e+000
6.653314421184739e-005	4.988226e+000
6.657314421184739e-005	4.988208e+000
6.661314421184740e-005	4.988199e+000
6.665314421184741e-005	4.988199e+000
6.669314421184741e-005	4.988207e+000
6.677314421184743e-005	4.988249e+000
6.685314421184744e-005	4.988323e+000
6.697314421184746e-005	4.988495e+000
6.709314421184748e-005	4.988738e+000
6.721314421184750e-005	4.989047e+000
6.737314421184752e-005	4.989584e+000
6.753314421184755e-005	4.990196e+000
6.769314421184757e-005	4.990882e+000
6.785314421184760e-005	4.991643e+000
6.801314421184762e-005	4.992478e+000
6.817314421184765e-005	4.993388e+000
6.833314421184768e-005	4.994372e+000
6.851028706899056e-005	4.995504e+000
6.868742992613345e-005	4.996620e+000
6.886457278327633e-005	4.997720e+000
6.904171564041922e-005	4.998803e+000
6.921885849756210e-005	4.999870e+000
6.939600135470499e-005	5.000920e+000
6.957314421184787e-005	5.001954e+000
6.969885849756218e-005	5.002630e+000
6.982457278327649e-005	5.003263e+000
6.995028706899079e-005	5.003852e+000
7.007600135470510e-005	5.004396e+000
7.020171564041940e-005	5.004897e+000
7.032742992613371e-005	5.005353e+000
7.045314421184801e-005	5.005766e+000
7.054457278327660e-005	5.006030e+000
7.063600135470519e-005	5.006265e+000
7.072742992613377e-005	5.006472e+000
7.081885849756236e-005	5.006650e+000
7.091028706899094e-005	5.006801e+000
7.100171564041953e-005	5.006923e+000
7.109314421184812e-005	5.007016e+000
7.113314421184812e-005	5.007048e+000
7.117314421184813e-005	5.007075e+000
7.121314421184814e-005	5.007096e+000
7.125314421184814e-005	5.007112e+000
7.129314421184815e-005	5.007123e+000
7.133314421184816e-005	5.007129e+000
7.137314421184816e-005	5.007129e+000
7.141314421184817e-005	5.007124e+000
7.149314421184818e-005	5.007098e+000
7.161314421184820e-005	5.007024e+000
7.173314421184822e-005	5.006905e+000
7.185314421184824e-005	5.006744e+000
7.199600135470540e-005	5.006491e+000
7.213885849756257e-005	5.006197e+000
7.228171564041974e-005	5.005862e+000
7.242457278327690e-005	5.005486e+000
7.256742992613407e-005	5.005070e+000
7.271028706899123e-005	5.004613e+000
7.285314421184840e-005	5.004115e+000
7.304742992613414e-005	5.003388e+000
7.324171564041989e-005	5.002663e+000
7.343600135470563e-005	5.001942e+000
7.363028706899138e-005	5.001223e+000
7.382457278327712e-005	5.000508e+000
7.401885849756287e-005	4.999795e+000
7.421314421184862e-005	4.999086e+000
7.433885849756292e-005	4.998664e+000
7.446457278327723e-005	4.998268e+000
7.459028706899153e-005	4.997897e+000
7.471600135470584e-005	4.997552e+000
7.484171564042014e-005	4.997232e+000
7.496742992613445e-005	4.996938e+000
7.509314421184876e-005	4.996669e+000
7.518457278327734e-005	4.996495e+000
7.527600135470593e-005	4.996338e+000
7.536742992613451e-005	4.996199e+000
7.545885849756310e-005	4.996076e+000
7.555028706899169e-005	4.995970e+000
7.564171564042027e-005	4.995882e+000
7.573314421184886e-005	4.995810e+000
7.577885849756315e-005	4.995781e+000
7.582457278327744e-005	4.995756e+000
7.587028706899174e-005	4.995735e+000
7.591600135470603e-005	4.995718e+000
7.596171564042032e-005	4.995706e+000
7.600742992613462e-005	4.995698e+000
7.605314421184891e-005	4.995694e+000
7.609314421184892e-005	4.995694e+000
7.617314421184893e-005	4.995703e+000
7.625314421184894e-005	4.995724e+000
7.637314421184896e-005	4.995779e+000
7.649314421184898e-005	4.995859e+000
7.661314421184900e-005	4.995964e+000
7.676742992613474e-005	4.996142e+000
7.692171564042048e-005	4.996347e+000
7.707600135470622e-005	4.996578e+000
7.723028706899195e-005	4.996837e+000
7.738457278327769e-005	4.997122e+000
7.753885849756343e-005	4.997434e+000
7.769314421184917e-005	4.997772e+000
7.782457278327776e-005	4.998069e+000
7.795600135470636e-005	4.998366e+000
